Time - Voltage,Pen tracing
0,0.387936
0.001,0.370223
0.002,0.304524
0.003,0.402106
0.004,0.319983
0.005,0.364748
0.006,0.265878
0.007,0.256216
0.008,0.184076
0.009,0.173771
0.01,0.171194
0.011,0.158956
0.012,0.163143
0.013,0.132226
0.014,0.0517127
0.015,0.0365763
0.016,-0.0426487
0.017,-0.0819391
0.018,-0.113178
0.019,-0.15118
0.02,-0.107059
0.021,-0.164385
0.022,-0.188538
0.023,-0.235236
0.024,-0.185318
0.025,-0.254237
0.026,-0.232338
0.027,-0.275815
0.028,-0.26873
0.029,-0.280645
0.03,-0.267119
0.031,-0.277425
0.032,-0.238457
0.033,-0.204641
0.034,-0.229439
0.035,-0.182741
0.036,-0.185962
0.037,-0.156977
0.038,-0.113822
0.039,-0.0899904
0.04,-0.099974
0.041,-0.0513441
0.042,-0.0848375
0.043,-0.0642262
0.044,-0.075498
0.045,-0.0783965
0.046,-0.0420045
0.047,-0.0581072
0.048,0.00791359
0.049,-0.00174799
0.05,0.0948678
0.051,0.0855282
0.052,0.132226
0.053,0.133192
0.054,0.267488
0.055,0.227553
0.056,0.302592
0.057,0.29132
0.058,0.346391
0.059,0.345747
0.06,0.345425
0.061,0.397597
0.062,0.40114
0.063,0.484229
0.064,0.423039
0.065,0.465872
0.066,0.494535
0.067,0.543809
0.068,0.501298
0.069,0.558301
0.07,0.540266
0.071,0.596626
0.072,0.534147
0.073,0.538656
0.074,0.492603
0.075,0.542521
0.076,0.506773
0.077,0.480043
0.078,0.504841
0.079,0.484873
0.08,0.49067
0.081,0.395665
0.082,0.425294
0.083,0.403072
0.084,0.436888
0.085,0.400174
0.086,0.379884
0.087,0.365714
0.088,0.353154
0.089,0.338984
0.09,0.269098
0.091,0.20501
0.092,0.197603
0.093,0.166041
0.094,0.105496
0.095,0.128361
0.096,0.022406
0.097,0.0926134
0.098,-0.00464646
0.099,0.016287
0.1,-0.105449
0.101,-0.0635821
0.102,-0.139586
0.103,-0.0925668
0.104,-0.169215
0.105,-0.14635
0.106,-0.177589
0.107,-0.162452
0.108,-0.242643
0.109,-0.2201
0.11,-0.241355
0.111,-0.240389
0.112,-0.223642
0.113,-0.267119
0.114,-0.185962
0.115,-0.24522
0.116,-0.185962
0.117,-0.276459
0.118,-0.168571
0.119,-0.265187
0.12,-0.153113
0.121,-0.161808
0.122,-0.157299
0.123,-0.117687
0.124,-0.128315
