Time - Voltage,Read lab report
0,1.55344
0.001,1.5528
0.002,1.55183
0.003,1.53541
0.004,1.43976
0.005,1.51834
0.006,1.38308
0.007,1.44298
0.008,1.42591
0.009,1.43461
0.01,1.51287
0.011,1.40691
0.012,1.44266
0.013,1.3483
0.014,1.33767
0.015,1.27261
0.016,1.2884
0.017,1.2549
0.018,1.28775
0.019,1.26811
0.02,1.27841
0.021,1.18502
0.022,1.20531
0.023,1.16891
0.024,1.1789
0.025,1.14862
0.026,1.11674
0.027,1.17954
0.028,1.07165
0.029,1.12189
0.03,1.06908
0.031,1.08454
0.032,1.03591
0.033,1.08518
0.034,1.02882
0.035,1.06908
0.036,1.06006
0.037,1.09259
0.038,1.03204
0.039,1.0256
0.04,1.05008
0.041,1.05169
0.042,1.12318
0.043,0.985987
0.044,1.17696
0.045,1.14605
0.046,1.17342
0.047,1.10032
0.048,1.14057
0.049,1.08196
0.05,1.16666
0.051,1.13381
0.052,1.1673
0.053,1.22527
0.054,1.25973
0.055,1.28389
0.056,1.28292
0.057,1.29097
0.058,1.25877
0.059,1.31802
0.06,1.31899
0.061,1.36021
0.062,1.38115
0.063,1.47422
0.064,1.40272
0.065,1.46778
0.066,1.44813
0.067,1.48259
0.068,1.44878
0.069,1.48034
0.07,1.528
0.071,1.56375
0.072,1.57406
0.073,1.56536
0.074,1.60175
0.075,1.56407
0.076,1.59467
0.077,1.53316
0.078,1.57277
0.079,1.56568
0.08,1.528
0.081,1.54249
0.082,1.55377
0.083,1.49741
0.084,1.55634
0.085,1.57599
0.086,1.47647
0.087,1.49129
0.088,1.44523
0.089,1.52929
0.09,1.40852
0.091,1.48163
0.092,1.42656
0.093,1.48195
0.094,1.4681
0.095,1.4024
0.096,1.43203
0.097,1.3644
0.098,1.32253
0.099,1.32962
0.1,1.30128
0.101,1.26682
0.102,1.2665
0.103,1.23139
0.104,1.23526
0.105,1.21014
0.106,1.17503
0.107,1.09259
0.108,1.10321
0.109,1.06779
0.11,1.07359
0.111,1.08196
0.112,1.03623
0.113,1.15056
0.114,1.07037
0.115,1.10032
0.116,1.0169
0.117,1.11094
0.118,1.05008
0.119,1.08582
0.12,1.08228
0.121,1.06457
0.122,1.06264
0.123,1.01336
0.124,1.09194
0.125,1.05233
0.126,1.10418
0.127,1.09935
0.128,1.13928
0.129,1.10837
0.13,1.12061
0.131,1.12189
0.132,1.17954
0.133,1.14218
0.134,1.21754
0.135,1.14476
0.136,1.20627
0.137,1.23526
0.138,1.2388
0.139,1.32447
0.14,1.23944
0.141,1.30289
0.142,1.29645
0.143,1.31513
0.144,1.35023
0.145,1.39274
0.146,1.40079
0.147,1.47615
0.148,1.46746
0.149,1.50546
0.15,1.42076
0.151,1.50675
0.152,1.45779
0.153,1.52865
0.154,1.52478
0.155,1.5557
0.156,1.61174
0.157,1.56311
0.158,1.54443
0.159,1.5499
0.16,1.61528
0.161,1.55956
0.162,1.60787
0.163,1.54507
0.164,1.58404
0.165,1.60433
0.166,1.57019
0.167,1.52478
0.168,1.51158
0.169,1.50965
0.17,1.46939
0.171,1.48066
0.172,1.46295
0.173,1.50836
0.174,1.47003
0.175,1.49322
0.176,1.46907
0.177,1.45393
0.178,1.38984
0.179,1.39596
0.18,1.37599
0.181,1.34572
0.182,1.39049
0.183,1.32801
0.184,1.31899
0.185,1.25361
0.186,1.27841
0.187,1.21529
0.188,1.24299
0.189,1.1921
